question,positive_chunks,negative_chunks
Nguồn kinh phí để thực hiện chính sách ưu đãi người có công với cách mạng được lấy từ đâu?,47_2009_TTLT_BTC_BLĐTBXH_art1_2,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art14
Cơ quan nào chịu trách nhiệm đảm bảo và cấp phát kinh phí cho chính sách ưu đãi người có công?,47_2009_TTLT_BTC_BLĐTBXH_art1_2,47_2009_TTLT_BTC_BLĐTBXH_art5_6;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_preamble
Số dư dự toán kinh phí không sử dụng hết vào cuối năm sẽ được xử lý như thế nào?,47_2009_TTLT_BTC_BLĐTBXH_art1_2,47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art9_11;47_2009_TTLT_BTC_BLĐTBXH_art3
"Quy định về việc thu hồi các khoản chi sai chế độ, cấp trùng cho người có công ra sao?",47_2009_TTLT_BTC_BLĐTBXH_art1_2,47_2009_TTLT_BTC_BLĐTBXH_art13;47_2009_TTLT_BTC_BLĐTBXH_art10;47_2009_TTLT_BTC_BLĐTBXH_art5_6
Những đối tượng nào được hưởng trợ cấp ưu đãi hàng tháng và trợ cấp một lần theo Thông tư 47/2009?,47_2009_TTLT_BTC_BLĐTBXH_art3,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art7_8
Thanh niên xung phong thời kỳ kháng chiến chống Pháp có được hưởng chế độ ưu đãi theo Thông tư này không?,47_2009_TTLT_BTC_BLĐTBXH_art3,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art5_6;47_2009_TTLT_BTC_BLĐTBXH_art12_13
Quân nhân tham gia kháng chiến chống Mỹ có dưới 20 năm công tác trong quân đội có thuộc đối tượng hưởng chế độ không?,47_2009_TTLT_BTC_BLĐTBXH_art3,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art14;47_2009_TTLT_BTC_BLĐTBXH_preamble
Đối tượng theo Quyết định 290/2005/QĐ-TTg có được hưởng trợ cấp theo quy định tại Thông tư này không?,47_2009_TTLT_BTC_BLĐTBXH_art3,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art15_end
"Ngoài trợ cấp, người có công với cách mạng còn được hưởng các khoản chi ưu đãi nào khác?",47_2009_TTLT_BTC_BLĐTBXH_art4,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art5_6;47_2009_TTLT_BTC_BLĐTBXH_art1_2
"Chính sách có hỗ trợ chi phí cho công tác tìm kiếm, quy tập và xây mới mộ liệt sỹ không?",47_2009_TTLT_BTC_BLĐTBXH_art4,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art5_6;47_2009_TTLT_BTC_BLĐTBXH_art12_13
Đối tượng nào được cấp Báo Nhân dân miễn phí theo quy định?,47_2009_TTLT_BTC_BLĐTBXH_art4,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art15_end
Người có công có được hỗ trợ tiền tàu xe khi đi giám định thương tật không?,47_2009_TTLT_BTC_BLĐTBXH_art4,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art5_6;47_2009_TTLT_BTC_BLĐTBXH_art1_2
"Các cơ sở nuôi dưỡng, điều dưỡng người có công được nhà nước hỗ trợ kinh phí cho những hoạt động nào?",47_2009_TTLT_BTC_BLĐTBXH_art5_6,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art7_8
Mức trích kinh phí cho công tác quản lý là bao nhiêu phần trăm và được dùng để chi cho những việc gì?,47_2009_TTLT_BTC_BLĐTBXH_art5_6,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art4
Kinh phí quản lý có được sử dụng để chi trả thù lao cho cán bộ trực tiếp chi trả trợ cấp không?,47_2009_TTLT_BTC_BLĐTBXH_art5_6,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art14
Chi phí quản lý để thực hiện chính sách theo Quyết định 290/2005/QĐ-TTg được hướng dẫn ở đâu?,47_2009_TTLT_BTC_BLĐTBXH_art5_6,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art14
Quy trình và thời gian lập dự toán kinh phí hàng năm cho chính sách người có công được quy định như thế nào?,47_2009_TTLT_BTC_BLĐTBXH_art7_8,47_2009_TTLT_BTC_BLĐTBXH_art9_11;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art1_2
Hạn chót để Sở Lao động – Thương binh và Xã hội gửi dự toán kinh phí lên Bộ Lao động – Thương binh và Xã hội là ngày nào?,47_2009_TTLT_BTC_BLĐTBXH_art7_8,47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art15_end;47_2009_TTLT_BTC_BLĐTBXH_art3
Cơ quan nào có thẩm quyền giao dự toán kinh phí thực hiện chính sách cho các Sở Lao động – Thương binh và Xã hội?,47_2009_TTLT_BTC_BLĐTBXH_art7_8,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art9_11;47_2009_TTLT_BTC_BLĐTBXH_art14
Dự toán kinh phí trợ cấp ưu đãi một lần được Bộ Lao động – Thương binh và Xã hội phân bổ như thế nào?,47_2009_TTLT_BTC_BLĐTBXH_art7_8,47_2009_TTLT_BTC_BLĐTBXH_art9_11;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art3
Thủ tục tạm cấp ngân sách đầu năm khi chưa có dự toán chính thức được quy định ra sao?,47_2009_TTLT_BTC_BLĐTBXH_art9_11,47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art1_2
Việc tạm cấp ngân sách có áp dụng đối với kinh phí trợ cấp ưu đãi một lần không?,47_2009_TTLT_BTC_BLĐTBXH_art9_11,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art14;47_2009_TTLT_BTC_BLĐTBXH_art4
Ai có thẩm quyền quyết định điều chỉnh dự toán kinh phí giữa các Phòng Lao động – Thương binh và Xã hội trong cùng một tỉnh?,47_2009_TTLT_BTC_BLĐTBXH_art9_11,47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art1_2
Mức tạm cấp kinh phí đầu năm cho các đơn vị không được vượt quá bao nhiêu?,47_2009_TTLT_BTC_BLĐTBXH_art9_11,47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art1_2
Phải làm gì khi kinh phí thực hiện chính sách tại một tỉnh bị thiếu sau khi đã tự điều chỉnh?,47_2009_TTLT_BTC_BLĐTBXH_art12_13,47_2009_TTLT_BTC_BLĐTBXH_art9_11;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art1_2
Quy trình quyết toán kinh phí thực hiện chính sách ưu đãi người có công được thực hiện như thế nào?,47_2009_TTLT_BTC_BLĐTBXH_art12_13,47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art9_11;47_2009_TTLT_BTC_BLĐTBXH_art14
"Kinh phí thực hiện chính sách ưu đãi người có công được hạch toán vào chương, loại, khoản nào của Mục lục ngân sách nhà nước?",47_2009_TTLT_BTC_BLĐTBXH_art12_13,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art5_6;47_2009_TTLT_BTC_BLĐTBXH_art3
Hạn chót để Phòng Lao động – Thương binh và Xã hội gửi báo cáo quyết toán cho Sở là ngày nào?,47_2009_TTLT_BTC_BLĐTBXH_art12_13,47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art15_end;47_2009_TTLT_BTC_BLĐTBXH_art9_11
"Việc quyết toán chi hỗ trợ cho các công trình, dự án đầu tư liên quan đến mộ liệt sỹ được thực hiện ra sao?",47_2009_TTLT_BTC_BLĐTBXH_art12_13,47_2009_TTLT_BTC_BLĐTBXH_art14;47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art5_6
Hồ sơ cần thiết để Kho bạc Nhà nước kiểm soát chi đối với các khoản trợ cấp ưu đãi hàng tháng là gì?,47_2009_TTLT_BTC_BLĐTBXH_art14,47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art3
"Để Kho bạc Nhà nước thực hiện chi trả trợ cấp một lần, cơ quan Lao động - Thương binh và Xã hội cần cung cấp những giấy tờ gì?",47_2009_TTLT_BTC_BLĐTBXH_art14,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art9_11
Căn cứ vào đâu để Kho bạc Nhà nước kiểm soát chi cho công tác mộ và nghĩa trang liệt sỹ?,47_2009_TTLT_BTC_BLĐTBXH_art14;47_2009_TTLT_BTC_BLĐTBXH_art4,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art5_6;47_2009_TTLT_BTC_BLĐTBXH_art12_13
Mẫu biểu nào được sử dụng để lập danh sách chi trả trợ cấp ưu đãi giáo dục?,47_2009_TTLT_BTC_BLĐTBXH_art14,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art12_13
Khi nào cơ quan LĐTBXH phải gửi danh sách chi trả trợ cấp hàng tháng cho Kho bạc Nhà nước?,47_2009_TTLT_BTC_BLĐTBXH_art14,47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art9_11
Thông tư 47/2009/TTLT-BTC-BLĐTBXH có hiệu lực từ khi nào và thay thế cho văn bản nào?,47_2009_TTLT_BTC_BLĐTBXH_art15_end,47_2009_TTLT_BTC_BLĐTBXH_preamble;47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art3
Trách nhiệm của Sở Lao động – Thương binh và Xã hội và Kho bạc Nhà nước cấp tỉnh trong việc thực hiện Thông tư này là gì?,47_2009_TTLT_BTC_BLĐTBXH_art15_end,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art14
Quy trình tài chính đầy đủ để thực hiện chi trả trợ cấp cho người có công bao gồm những bước chính nào?,47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art9_11;47_2009_TTLT_BTC_BLĐTBXH_art14,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_preamble
Kinh phí cho chính sách người có công được quản lý và sử dụng như thế nào?,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art12_13,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art15_end
Các khoản chi cho người có công bao gồm những loại chính nào?,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art4,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art14
Thông tư này hướng dẫn về những nội dung gì?,47_2009_TTLT_BTC_BLĐTBXH_preamble,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art15_end
Cơ sở pháp lý để ban hành Thông tư liên tịch số 47/2009 là gì?,47_2009_TTLT_BTC_BLĐTBXH_preamble,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art15_end;47_2009_TTLT_BTC_BLĐTBXH_art7_8
"Chi phí quản lý có được dùng để tổ chức tập huấn, bồi dưỡng nghiệp vụ không?",47_2009_TTLT_BTC_BLĐTBXH_art5_6,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art12_13
"Thủ tục điều chỉnh dự toán kinh phí giữa các tỉnh, thành phố trực thuộc Trung ương được thực hiện như thế nào?",47_2009_TTLT_BTC_BLĐTBXH_art9_11,47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art1_2
Trường hợp nào thì được ứng trước dự toán ngân sách năm sau?,47_2009_TTLT_BTC_BLĐTBXH_art12_13,47_2009_TTLT_BTC_BLĐTBXH_art9_11;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art1_2
Báo cáo quyết toán kinh phí cần phải có xác nhận của cơ quan nào?,47_2009_TTLT_BTC_BLĐTBXH_art12_13,47_2009_TTLT_BTC_BLĐTBXH_art14;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art1_2
Hồ sơ kiểm soát chi của Kho bạc Nhà nước đối với đối tượng theo Quyết định 290/2005/QĐ-TTg cần mẫu biểu nào?,47_2009_TTLT_BTC_BLĐTBXH_art14,47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art5_6;47_2009_TTLT_BTC_BLĐTBXH_art12_13
Các cơ sở nuôi dưỡng người có công có được hỗ trợ kinh phí để chi trả dịch vụ công cộng không?,47_2009_TTLT_BTC_BLĐTBXH_art5_6,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art3;47_2009_TTLT_BTC_BLĐTBXH_art1_2
"Chi phí quản lý có bao gồm chi xăng dầu, thông tin liên lạc phục vụ công tác không?",47_2009_TTLT_BTC_BLĐTBXH_art5_6,47_2009_TTLT_BTC_BLĐTBXH_art4;47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art14
Bộ Tài chính có vai trò gì trong quy trình lập và phân bổ dự toán?,47_2009_TTLT_BTC_BLĐTBXH_art7_8,47_2009_TTLT_BTC_BLĐTBXH_art14;47_2009_TTLT_BTC_BLĐTBXH_art12_13;47_2009_TTLT_BTC_BLĐTBXH_art9_11
Việc rút dự toán tại Kho bạc Nhà nước được thực hiện bởi những đơn vị nào?,47_2009_TTLT_BTC_BLĐTBXH_art9_11,47_2009_TTLT_BTC_BLĐTBXH_art1_2;47_2009_TTLT_BTC_BLĐTBXH_art7_8;47_2009_TTLT_BTC_BLĐTBXH_art14
